DeliveryID,OrderID,DeliveryPartner,DeliveryDistanceKM,OrderReadyTime,DeliveryPickupTime,DeliveryTime,DeliveryStatus,DeliveryFee
1,3,Shadowfax,5.82,2026-03-03 19:04:09,2026-03-03 19:16:09,2026-03-03 19:33:09,Delivered,53.84
2,4,Swiggy Genie,5.09,2024-06-26 12:22:42,2024-06-26 12:34:42,2024-06-26 12:52:42,Delivered,57.03
3,12,Swiggy Genie,7.13,2024-06-16 14:13:37,2024-06-16 14:21:37,2024-06-16 14:58:37,Delivered,75.56
4,13,Swiggy Genie,12.24,2024-02-17 19:35:37,2024-02-17 19:37:37,2024-02-17 20:40:37,Delivered,81.38
5,18,Swiggy Genie,13.07,2024-06-08 12:22:44,2024-06-08 12:25:44,2024-06-08 13:28:44,Delivered,134.77
6,21,Swiggy Genie,14.18,2024-11-03 17:29:28,2024-11-03 17:31:28,2024-11-03 18:16:28,Delivered,104.49
7,25,Porter,9.53,2025-04-02 22:43:32,2025-04-02 22:54:32,2025-04-02 23:33:32,Delivered,78.14
8,26,Porter,6.03,2024-06-06 19:08:39,2024-06-06 19:19:39,2024-06-06 19:40:39,Delivered,51.84
9,28,Swiggy Genie,5.13,2024-03-06 20:35:39,2024-03-06 20:42:39,2024-03-06 21:10:39,Delivered,48.93
10,29,Swiggy Genie,3.85,2024-12-17 12:11:47,2024-12-17 12:13:47,2024-12-17 12:33:47,Delivered,54.25
11,31,Dunzo,13.04,2024-10-06 20:08:48,2024-10-06 20:10:48,2024-10-06 21:13:48,Delivered,86.88
12,33,Dunzo,12.62,2025-02-09 21:31:26,2025-02-09 21:36:26,2025-02-09 22:22:26,Delivered,122.04
13,34,Dunzo,6.03,2024-01-13 12:46:35,2024-01-13 12:52:35,2024-01-13 13:16:35,Delivered,59.78
14,37,Shadowfax,13.98,2024-05-11 17:35:27,2024-05-11 17:40:27,2024-05-11 18:47:27,Delivered,95.4
15,39,Own Fleet,13.65,2025-06-16 18:42:47,2025-06-16 18:49:47,,Failed,115.27
16,53,Porter,14.08,2024-06-22 12:02:01,2024-06-22 12:13:01,2024-06-22 13:04:01,Delivered,143.18
17,55,Porter,11.94,2025-12-01 18:18:34,2025-12-01 18:22:34,2025-12-01 19:25:34,Delivered,79.92
18,62,Shadowfax,7.79,2026-03-07 16:34:55,2026-03-07 16:47:55,2026-03-07 17:18:55,Delivered,80.57
19,64,Porter,8.29,2024-12-06 13:48:49,2024-12-06 14:02:49,2024-12-06 14:27:49,Delivered,74.32
20,68,Own Fleet,13.01,2025-10-22 16:09:42,2025-10-22 16:17:42,2025-10-22 16:58:42,Delivered,129.12
21,72,Dunzo,1.68,2024-12-28 19:38:53,2024-12-28 19:48:53,2024-12-28 20:03:53,Delivered,29.84
22,74,Swiggy Genie,8.65,2025-03-29 20:56:07,2025-03-29 21:08:07,,Delivered,85.87
23,76,Swiggy Genie,7.19,2026-04-25 18:28:05,2026-04-25 18:36:05,2026-04-25 19:05:05,Delivered,63.12
24,77,Porter,7.75,2025-12-01 20:02:36,2025-12-01 20:06:36,2025-12-01 20:37:36,Delivered,82.83
25,80,Swiggy Genie,9.4,2024-09-06 16:38:02,2024-09-06 16:52:02,2024-09-06 17:18:02,Delivered,73.69
26,81,Swiggy Genie,10.64,2026-07-21 21:57:26,2026-07-21 22:00:26,2026-07-21 22:56:26,Delivered,114.01
27,82,Swiggy Genie,10.98,2024-06-22 19:42:28,2024-06-22 19:51:28,2024-06-22 20:46:28,Delivered,86.35
28,83,Shadowfax,12.44,2024-11-04 11:04:10,2024-11-04 11:15:10,2024-11-04 12:18:10,Delivered,86.76
29,85,Own Fleet,6.7,2024-08-04 20:39:48,2024-08-04 20:46:48,2024-08-04 21:21:48,Delivered,54.41
30,86,Shadowfax,2.72,2024-04-20 19:55:29,2024-04-20 20:07:29,2024-04-20 20:21:29,Delivered,38.08
31,91,Swiggy Genie,6.89,2025-01-25 20:45:09,2025-01-25 20:57:09,2025-01-25 21:31:09,Delivered,55.38
32,94,Own Fleet,14.18,2025-12-20 14:20:30,2025-12-20 14:33:30,,Returned,118.36
33,97,Swiggy Genie,8.0,2026-03-08 14:42:34,2026-03-08 14:56:34,2026-03-08 15:26:34,Delivered,91.09
34,98,Porter,4.68,2025-08-09 19:50:47,2025-08-09 20:03:47,2025-08-09 20:21:47,Delivered,51.89
35,104,Own Fleet,2.02,2025-09-29 21:31:38,2025-09-29 21:42:38,2025-09-29 21:57:38,Delivered,36.51
36,105,Porter,5.72,2024-08-24 13:29:00,2024-08-24 13:41:00,2024-08-24 14:03:00,Delivered,61.67
37,108,Dunzo,8.64,2025-12-30 19:07:52,2025-12-30 19:19:52,2025-12-30 19:58:52,Delivered,73.35
38,111,Dunzo,13.21,2025-03-06 21:01:29,2025-03-06 21:06:29,2025-03-06 22:02:29,Delivered,137.8
39,117,Swiggy Genie,12.07,2025-05-14 19:28:45,2025-05-14 19:35:45,2025-05-14 20:28:45,Delivered,88.73
40,118,Swiggy Genie,11.57,2024-04-06 11:20:17,2024-04-06 11:33:17,2024-04-06 12:26:17,Delivered,117.78
41,119,Dunzo,10.72,2024-06-07 13:12:15,2024-06-07 13:27:15,2024-06-07 14:06:15,Delivered,93.43
42,121,Swiggy Genie,10.48,2025-11-21 16:37:59,2025-11-21 16:39:59,2025-11-21 17:26:59,Delivered,97.17
43,126,Shadowfax,5.42,2026-04-05 13:25:22,2026-04-05 13:37:22,2026-04-05 13:54:22,Delivered,68.32
44,128,Shadowfax,10.18,2025-09-10 11:08:12,2025-09-10 11:19:12,2025-09-10 11:58:12,Delivered,99.83
45,129,Shadowfax,14.23,2024-11-27 14:13:32,2024-11-27 14:26:32,2024-11-27 15:09:32,Delivered,145.9
46,131,Dunzo,6.59,2024-07-13 20:19:58,2024-07-13 20:27:58,2024-07-13 20:47:58,DELIVERED,69.6
47,144,Own Fleet,11.82,2025-11-10 18:12:16,2025-11-10 18:26:16,2025-11-10 19:23:16,Delivered,114.57
48,146,Dunzo,3.84,2024-09-14 17:00:30,2024-09-14 17:06:30,2024-09-14 17:25:30,Delivered,43.01
49,148,Porter,10.67,2026-01-24 20:46:42,2026-01-24 20:53:42,2026-01-24 21:37:42,Delivered,89.64
50,149,Swiggy Genie,4.49,2024-05-05 11:25:43,2024-05-05 11:38:43,,Failed,57.77
