InspectionID,BranchID,InspectionDate,InspectionType,InspectionScore,ComplianceStatus,ViolationCategory,ViolationSeverity,CorrectiveActionStatus,CorrectiveActionDescription
1,1,2022-12-09,Follow-up,59,Major Issues,Staff Hygiene,Low,Pending,Staff Hygiene issue flagged — corrective action pending.
2,1,2023-01-08,Follow-up,42,Major Issues,Food Storage Temperature,High,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
3,1,2023-02-07,Surprise,48,Major Issues,Food Storage Temperature,High,Completed,Food Storage Temperature issue flagged — corrective action completed.
4,1,2023-03-09,Follow-up,90,Compliant,,,,
5,1,2023-04-08,Routine,88,Compliant,,,,
6,1,2023-05-08,Surprise,56,Major Issues,Expired Ingredient Usage,Critical,Pending,Expired Ingredient Usage issue flagged — corrective action pending.
7,1,2023-06-07,Routine,40,Major Issues,Expired Ingredient Usage,Medium,Completed,Expired Ingredient Usage issue flagged — corrective action completed.
8,1,2023-07-07,Routine,98,Compliant,,,,
9,1,2023-08-06,Follow-up,22,Non-Compliant,Food Storage Temperature,Critical,Not Addressed,Food Storage Temperature issue flagged — corrective action not addressed.
10,1,2023-09-05,Routine,83,Minor Issues,Staff Hygiene,High,Pending,Staff Hygiene issue flagged — corrective action pending.
11,1,2023-10-05,Complaint-Triggered,99,Compliant,,,,
12,1,2023-11-04,Surprise,75,Minor Issues,Staff Hygiene,Medium,Not Addressed,Staff Hygiene issue flagged — corrective action not addressed.
13,1,2023-12-04,Surprise,59,Major Issues,Staff Hygiene,Low,Completed,Staff Hygiene issue flagged — corrective action completed.
14,1,2024-01-03,Routine,35,Non-Compliant,Kitchen Cleanliness,Critical,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
15,1,2024-02-02,Follow-up,17,non-compliant,Kitchen Cleanliness,High,Pending,Kitchen Cleanliness issue flagged — corrective action pending.
16,1,2024-03-03,Follow-up,83,Minor Issues,Food Storage Temperature,Low,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
17,1,2024-04-02,Complaint-Triggered,87,Compliant,,,,
18,1,2024-05-02,Follow-up,38,Non-Compliant,Pest Control,Medium,In Progress,Pest Control issue flagged — corrective action in progress.
19,1,2024-06-01,Surprise,16,Non-Compliant,Cross Contamination,Critical,In Progress,Cross Contamination issue flagged — corrective action in progress.
20,1,2024-07-01,Routine,65,Minor Issues,Waste Disposal,Medium,Completed,Waste Disposal issue flagged — corrective action completed.
21,1,2024-07-31,Follow-up,5,Non-Compliant,Staff Hygiene,Critical,Completed,Staff Hygiene issue flagged — corrective action completed.
22,1,2024-08-30,Routine,16,Non-Compliant,Kitchen Cleanliness,Critical,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
23,2,2022-12-09,Complaint-Triggered,98,Compliant,,,,
24,2,2023-03-09,Follow-up,94,Compliant,,,,
25,2,2023-06-07,Complaint-Triggered,97,Compliant,,,,
26,2,2023-09-05,Routine,96,Compliant,,,,
27,2,2023-12-04,Routine,83,Minor Issues,Pest Control,Low,Completed,Pest Control issue flagged — corrective action completed.
28,2,2024-03-03,Routine,92,Compliant,,,,
29,2,2024-06-01,Follow-up,69,Minor Issues,Pest Control,Low,Completed,Pest Control issue flagged — corrective action completed.
30,2,2024-08-30,Complaint-Triggered,97,Compliant,,,,
31,2,2024-11-28,Surprise,97,Compliant,,,,
32,2,2025-02-26,Complaint-Triggered,13,Non-Compliant,Staff Hygiene,Medium,In Progress,Staff Hygiene issue flagged — corrective action in progress.
33,2,2025-05-27,Complaint-Triggered,86,Compliant,,,,
34,2,2025-08-25,Surprise,100,Compliant,,,,
35,2,2025-11-23,Follow-up,74,Minor Issues,Waste Disposal,High,Not Addressed,Waste Disposal issue flagged — corrective action not addressed.
36,2,2026-02-21,Complaint-Triggered,94,Compliant,,,,
37,2,2026-05-22,Surprise,92,Compliant,,,,
38,2,2026-08-20,Complaint-Triggered,39,Non-Compliant,Pest Control,Critical,Pending,Pest Control issue flagged — corrective action pending.
39,3,2022-12-09,Complaint-Triggered,77,Minor Issues,Staff Hygiene,Medium,Pending,Staff Hygiene issue flagged — corrective action pending.
40,3,2023-03-09,Surprise,72,Minor Issues,Kitchen Cleanliness,Low,Pending,Kitchen Cleanliness issue flagged — corrective action pending.
41,3,2023-06-07,Surprise,85,Compliant,,,,
42,3,2023-09-05,Routine,63,Major Issues,Food Storage Temperature,High,Pending,Food Storage Temperature issue flagged — corrective action pending.
43,3,2023-12-04,Routine,86,Compliant,,,,
44,3,2024-03-03,Surprise,73,Minor Issues,Kitchen Cleanliness,Medium,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
45,3,2024-06-01,Follow-up,92,Compliant,,,,
46,3,2024-08-30,Surprise,62,Major Issues,Kitchen Cleanliness,Low,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
47,3,2024-11-28,Routine,72,Minor Issues,Pest Control,Medium,Completed,Pest Control issue flagged — corrective action completed.
48,3,2025-02-26,Follow-up,89,Compliant,,,,
49,3,2025-05-27,Complaint-Triggered,68,Minor Issues,Expired Ingredient Usage,Critical,Not Addressed,Expired Ingredient Usage issue flagged — corrective action not addressed.
50,3,2025-08-25,Complaint-Triggered,96,Compliant,,,,
51,3,2025-11-23,Routine,32,Non-Compliant,Kitchen Cleanliness,High,Pending,Kitchen Cleanliness issue flagged — corrective action pending.
52,3,2026-02-21,Complaint-Triggered,79,Minor Issues,Expired Ingredient Usage,Medium,In Progress,Expired Ingredient Usage issue flagged — corrective action in progress.
53,3,2026-05-22,Complaint-Triggered,82,Minor Issues,Kitchen Cleanliness,Low,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
54,3,2026-08-20,Follow-up,90,Compliant,,,,
55,4,2022-12-09,Follow-up,86,Compliant,,,,
56,4,2023-03-09,Surprise,89,Compliant,,,,
57,4,2023-06-07,Follow-up,88,Compliant,,,,
58,4,2023-09-05,Follow-up,94,Compliant,,,,
59,4,2023-12-04,Surprise,95,Compliant,,,,
60,4,2024-03-03,Complaint-Triggered,97,Compliant,,,,
61,4,2024-06-01,Routine,94,Compliant,,,,
62,4,2024-08-30,Follow-up,96,Compliant,,,,
63,4,2024-11-28,Surprise,84,Minor Issues,Cross Contamination,Low,Not Addressed,Cross Contamination issue flagged — corrective action not addressed.
64,4,2025-02-26,Surprise,98,Compliant,,,,
65,4,2025-05-27,Surprise,70,Minor Issues,Kitchen Cleanliness,Medium,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
66,4,2025-08-25,Surprise,83,Minor Issues,Waste Disposal,Critical,Pending,Waste Disposal issue flagged — corrective action pending.
67,4,2025-11-23,Routine,86,Compliant,,,,
68,4,2026-02-21,Follow-up,100,Compliant,,,,
69,4,2026-05-22,Surprise,96,Compliant,,,,
70,4,2026-08-20,Follow-up,69,Minor Issues,Waste Disposal,Medium,Completed,Waste Disposal issue flagged — corrective action completed.
71,5,2022-12-09,Complaint-Triggered,94,Compliant,,,,
72,5,2023-03-09,Follow-up,96,Compliant,,,,
73,5,2023-06-07,Surprise,97,Compliant,,,,
74,5,2023-09-05,Complaint-Triggered,97,Compliant,,,,
75,5,2023-12-04,Routine,90,Compliant,,,,
76,5,2024-03-03,Surprise,67,Minor Issues,Staff Hygiene,Critical,Not Addressed,Staff Hygiene issue flagged — corrective action not addressed.
77,5,2024-06-01,Routine,97,Compliant,,,,
78,5,2024-08-30,Routine,100,Compliant,,,,
79,5,2024-11-28,Surprise,84,Minor Issues,Food Storage Temperature,Low,Pending,Food Storage Temperature issue flagged — corrective action pending.
80,5,2025-02-26,Complaint-Triggered,88,Compliant,,,,
81,5,2025-05-27,Follow-up,100,Compliant,,,,
82,5,2025-08-25,Surprise,95,Compliant,,,,
83,5,2025-11-23,Complaint-Triggered,89,Compliant,,,,
84,5,2026-02-21,Routine,-5,Compliant,,,,
85,5,2026-05-22,Surprise,96,Compliant,,,,
86,5,2026-08-20,Surprise,74,Minor Issues,Cross Contamination,Low,Completed,Cross Contamination issue flagged — corrective action completed.
87,6,2022-12-09,Surprise,91,Compliant,,,,
88,6,2023-03-09,Surprise,96,Compliant,,,,
89,6,2023-06-07,Follow-up,86,Compliant,,,,
90,6,2023-09-05,Routine,89,COMPLIANT,,,,
91,6,2023-12-04,Follow-up,12,Non-Compliant,Documentation Lapse,Critical,In Progress,Documentation Lapse issue flagged — corrective action in progress.
92,6,2024-03-03,Complaint-Triggered,45,Major Issues,Food Storage Temperature,High,In Progress,Food Storage Temperature issue flagged — corrective action in progress.
93,6,2024-06-01,Follow-up,95,Compliant,,,,
94,6,2024-08-30,Routine,89,Compliant,,,,
95,6,2024-11-28,Complaint-Triggered,72,Minor Issues,Expired Ingredient Usage,High,In Progress,Expired Ingredient Usage issue flagged — corrective action in progress.
