CostID,BranchID,CostDate,CostCategory,CostAmount,Description
1,1,2024-01-01,Rent,121194.73,Rent expense for January 2024
2,1,2024-01-01,Electricity,58430.88,Electricity expense for January 2024
3,1,2024-01-01,Salaries,511018.27,Salaries expense for January 2024
4,1,2024-01-01,Maintenance,18852.82,Maintenance expense for January 2024
5,1,2024-01-01,Delivery,38597.04,Delivery expense for January 2024
6,1,2024-01-01,Cleaning,10771.91,Cleaning expense for January 2024
7,1,2024-01-01,Repairs,29387.68,Repairs expense for January 2024
8,1,2024-01-01,Miscellaneous,15324.33,Miscellaneous expense for January 2024
9,1,2024-02-01,Rent,91442.21,Rent expense for February 2024
10,1,2024-02-01,Electricity,49147.35,Electricity expense for February 2024
11,1,2024-02-01,Salaries,591625.84,Salaries expense for February 2024
12,1,2024-02-01,Maintenance,7081.39,Maintenance expense for February 2024
13,1,2024-02-01,Delivery,48840.49,Delivery expense for February 2024
14,1,2024-02-01,Cleaning,9889.77,Cleaning expense for February 2024
15,1,2024-02-01,Repairs,25904.11,Repairs expense for February 2024
16,1,2024-02-01,Miscellaneous,12152.26,Miscellaneous expense for February 2024
17,1,2024-03-01,Rent,70486.88,Rent expense for March 2024
18,1,2024-03-01,Electricity,33642.63,Electricity expense for March 2024
19,1,2024-03-01,Salaries,371344.49,Salaries expense for March 2024
20,1,2024-03-01,Maintenance,12328.1,Maintenance expense for March 2024
21,1,2024-03-01,Delivery,48644.1,Delivery expense for March 2024
22,1,2024-03-01,Cleaning,8211.14,Cleaning expense for March 2024
23,1,2024-03-01,Repairs,14918.13,Repairs expense for March 2024
24,1,2024-03-01,Miscellaneous,15431.3,Miscellaneous expense for March 2024
25,1,2024-04-01,rent,181507.96,Rent expense for April 2024
26,1,2024-04-01,Electricity,48468.92,Electricity expense for April 2024
27,1,2024-04-01,Salaries,425391.29,Salaries expense for April 2024
28,1,2024-04-01,Maintenance,16484.52,Maintenance expense for April 2024
29,1,2024-04-01,Delivery,36522.41,Delivery expense for April 2024
30,1,2024-04-01,Cleaning,9466.41,Cleaning expense for April 2024
31,1,2024-04-01,Repairs,4316.36,Repairs expense for April 2024
32,1,2024-04-01,Miscellaneous,4546.64,Miscellaneous expense for April 2024
33,1,2024-05-01,Rent,185832.44,Rent expense for May 2024
