OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,DiscountAmount,FinalAmount
1,1,37,3,63.47,28.56,161.85
2,1,2,3,122.34,36.7,330.32
3,1,4,3,97.88,0.0,293.64
4,1,20,3,238.82,35.82,680.64
5,2,68,2,310.47,0.0,620.94
6,2,44,1,190.78,28.62,162.16
7,2,59,3,349.44,157.25,891.07
8,3,17,1,144.83,0.0,144.83
9,3,18,1,140.88,21.13,119.75
10,4,46,3,161.47,0.0,484.41
11,4,65,3,300.59,0.0,901.77
12,4,4,1,97.88,0.0,97.88
13,4,43,1,277.53,41.63,235.9
14,5,31,1,64.68,6.47,58.21
15,5,34,2,41.41,0.0,82.82
16,5,11,2,211.28,42.26,380.3
17,5,26,1,183.0,9.15,173.85
18,6,70,3,318.01,47.7,906.33
19,7,33,1,82.14,0.0,82.14
20,7,54,1,200.54,0.0,200.54
21,8,14,2,172.14,51.64,292.64
22,9,26,3,183.0,27.45,521.55
23,10,65,2,300.59,90.18,511.0
24,11,12,1,147.57,7.38,140.19
25,12,56,1,268.8,0.0,268.8
26,13,52,1,97.93,0.0,97.93
27,13,25,3,163.63,0.0,490.89
28,13,2,1,122.34,0.0,122.34
29,13,67,2,310.47,93.14,527.8
30,13,45,3,206.77,31.02,589.29
31,14,59,1,349.44,34.94,314.5
32,14,44,2,190.78,0.0,381.56
33,14,5,3,182.17,0.0,546.51
34,14,13,3,160.7,72.31,409.79
35,14,69,2,177.24,0.0,354.48
36,15,27,1,68.37,6.84,61.53
37,16,48,1,367.71,18.39,349.32
38,16,61,3,234.61,0.0,703.83
39,16,27,2,68.37,20.51,116.23
40,17,70,2,318.01,63.6,572.42
41,17,68,1,310.47,15.52,294.95
42,17,1,3,248.27,744.8,670.33
43,18,55,1,478.02,47.8,430.22
44,19,39,3,49.95,7.49,142.36
45,19,60,3,212.72,95.72,542.44
46,20,60,1,212.72,21.27,191.45
47,20,41,3,50.99,0.0,152.97
48,21,14,3,172.14,77.46,438.96
49,21,2,1,122.34,0.0,122.34
50,21,8,1,180.47,0.0,180.47
51,22,12,3,147.57,0.0,442.71
52,22,17,1,144.83,14.48,130.35
53,23,19,3,206.87,0.0,620.61
54,23,39,1,49.95,0.0,49.95
55,24,18,1,140.88,0.0,140.88
56,24,61,1,234.61,11.73,222.88
57,25,63,3,200.54,0.0,601.62
58,25,12,1,147.57,7.38,140.19
59,25,48,3,367.71,110.31,992.82
60,26,5,2,182.17,36.43,327.91
61,26,22,1,136.34,13.63,122.71
62,27,25,1,163.63,24.54,139.09
63,27,40,2,122.76,0.0,245.52
64,27,7,3,243.68,73.1,657.94
65,28,7,3,243.68,109.66,621.38
66,29,34,3,41.41,18.63,105.6
67,29,19,3,206.87,0.0,620.61
68,30,41,3,50.99,0.0,152.97
69,30,64,1,256.44,12.82,243.62
70,30,68,-1,310.47,31.05,279.42
71,31,5,2,182.17,0.0,364.34
72,31,4,3,97.88,0.0,293.64
73,31,65,-1,300.59,0.0,300.59
74,31,54,2,200.54,0.0,401.08
75,32,31,2,64.68,0.0,129.36
76,32,26,3,183.0,82.35,466.65
77,32,57,1,107.13,5.36,101.77
78,33,25,1,163.63,8.18,155.45
79,34,57,2,107.13,0.0,214.26
80,35,61,3,234.61,70.38,633.45
81,35,32,1,79.0,0.0,79.0
82,36,63,2,200.54,20.05,381.03
83,36,23,3,208.08,0.0,624.24
84,36,61,3,234.61,35.19,668.64
85,36,30,1,60.79,6.08,54.71
86,37,1,1,248.27,37.24,211.03
87,37,16,2,110.35,22.07,198.63
88,37,51,2,236.82,0.0,473.64
89,38,20,3,238.82,107.47,608.99
90,38,62,3,159.59,0.0,478.77
91,38,68,2,310.47,93.14,527.8
92,39,28,2,96.03,0.0,192.06
93,39,7,1,243.68,0.0,243.68
94,40,48,1,367.71,55.16,312.55
95,40,65,2,300.59,0.0,601.18
96,40,61,2,234.61,46.92,422.3
97,40,13,1,160.7,0.0,160.7
98,41,63,1,200.54,10.03,190.51
99,42,11,3,211.28,0.0,633.84
100,42,28,3,96.03,14.4,273.69
101,42,41,2,50.99,0.0,101.98
102,43,48,2,367.71,110.31,625.11
103,43,13,3,160.7,0.0,482.1
104,43,50,1,244.62,0.0,244.62
105,44,16,3,110.35,0.0,331.05
106,44,33,1,82.14,12.32,69.82
107,45,12,3,147.57,0.0,442.71
108,45,26,3,183.0,82.35,466.65
109,45,28,1,96.03,0.0,96.03
110,45,1,2,248.27,0.0,496.54
111,45,14,3,172.14,0.0,516.42
112,46,50,3,244.62,36.69,697.17
113,46,65,2,300.59,0.0,601.18
114,47,59,3,349.44,157.25,891.07
115,48,64,1,256.44,0.0,256.44
116,48,13,2,160.7,48.21,273.19
117,49,17,3,144.83,0.0,434.49
118,49,31,2,64.68,12.94,116.42
119,50,45,1,206.77,0.0,206.77
120,50,56,1,268.8,0.0,268.8
121,50,70,1,318.01,0.0,318.01
122,50,17,3,144.83,0.0,434.49
123,51,16,1,110.35,0.0,110.35
124,51,57,3,107.13,48.21,273.18
125,51,36,3,33.65,5.05,95.9
126,51,7,3,243.68,36.55,694.49
127,51,25,3,163.63,49.09,441.8
128,52,25,2,163.63,16.36,310.9
