OrderID,CustomerID,BranchID,EmployeeID,OrderDate,OrderTime,OrderType,OrderStatus,Subtotal,DiscountAmount,TaxAmount,TotalAmount,PaymentMode
1,10465,9,305,2025-09-05,14:43:22,Takeaway,Completed,1567.53,101.08,73.32,1539.77,UPI
2,458,12,427,2024-02-18,18:12:54,Dine-In,Completed,1860.04,185.87,83.71,1757.88,UPI
3,7726,5,184,2026-03-03,18:48:09,Delivery,Cancelled,285.71,21.13,13.23,277.81,UPI
4,4178,7,259,2024-06-26,12:01:42,Delivery,Completed,1761.59,41.63,86.0,1805.96,Debit Card
5,12389,5,172,2025-06-27,21:56:45,Takeaway,Cancelled,753.06,57.88,34.76,729.94,UPI
6,11450,9,315,2026-01-24,20:40:43,Takeaway,Completed,954.03,47.7,45.32,951.65,Wallet
7,684,5,171,2024-10-12,14:34:21,Takeaway,Completed,282.68,0.0,14.13,296.81,Cash
8,8312,7,241,2025-06-09,18:42:19,Takeaway,Completed,344.28,51.64,14.63,307.27,Wallet
9,8445,17,597,2025-03-22,18:49:53,Dine-In,Cancelled,549.0,27.45,26.08,547.63,UPI
10,189,5,187,2024-07-19,13:41:24,Dine-In,Completed,601.18,90.18,25.55,536.55,Debit Card
11,840,19,677,2025-10-22,13:17:18,Takeaway,Refunded,147.57,7.38,7.01,147.2,Cash
12,8257,14,502,2024-06-16,13:48:37,Delivery,Completed,268.8,0.0,13.44,282.24,Credit Card
13,8470,11,403,2024-02-17,19:17:37,Delivery,Completed,1952.41,124.16,91.41,1919.66,UPI
14,3127,8,269,2026-07-06,19:44:34,Dine-In,Completed,2114.09,107.25,100.34,2107.18,UPI
15,5542,8,269,2024-07-01,22:27:18,Dine-In,Completed,68.37,-6.84,3.08,64.61,Cash
16,12323,2,73,2024-06-25,21:45:55,Takeaway,Completed,1208.28,38.9,58.47,1227.85,UPI
17,9173,5,186,2024-08-26,14:16:23,Dine-In,Completed,1691.3,153.6,76.89,1614.59,UPI
18,1038,12,407,2024-06-08,12:07:44,Delivery,Completed,478.02,47.8,21.51,451.73,Credit Card
19,5549,5,184,2024-10-12,19:15:03,Dine-In,Completed,788.01,103.21,34.24,719.04,Debit Card
20,8270,20,714,2025-02-11,21:48:38,Takeaway,Completed,365.69,21.27,17.22,361.64,Wallet
21,2632,9,313,2024-11-03,17:21:28,Delivery,Completed,819.23,77.46,37.09,778.86,UPI
22,3852,12,417,2025-01-14,12:56:12,Dine-In,Completed,587.54,14.48,28.65,601.71,Credit Card
23,5904,20,747,2025-09-13,13:14:10,Dine-In,Completed,670.56,0.0,33.53,704.09,Debit Card
24,2855,5,175,2025-06-19,19:43:09,Takeaway,Completed,375.49,11.73,18.19,381.95,UPI
25,5579,8,270,2025-04-02,22:26:32,Delivery,Completed,1852.32,117.69,86.73,1821.36,Cash
26,5117,3,86,2024-06-06,18:44:39,Delivery,Completed,500.68,50.06,22.53,473.15,UPI
