ProductID,IngredientID,QuantityRequired
1,24,0.323
1,17,0.246
1,60,0.271
1,53,0.23
1,12,0.364
1,36,0.492
1,15,0.178
2,38,0.242
2,30,0.14
2,60,0.181
2,20,0.326
2,34,0.076
2,9,0.509
2,35,0.045
3,10,0.213
3,27,0.483
3,60,0.122
3,53,0.07
3,56,0.381
4,6,0.368
4,18,0.222
4,58,0.381
4,53,0.56
5,19,0.355
5,18,0.228
5,47,0.523
5,60,0.344
5,35,0.119
5,9,0.244
6,47,0.217
6,12,0.072
6,22,0.319
6,1,0.104
7,38,0.527
7,61,0.036
7,2,0.307
7,43,0.57
8,44,0.267
8,56,0.33
8,32,0.455
8,22,0.013
9,31,0.229
9,44,0.522
9,29,0.343
9,27,0.489
9,23,0.334
10,22,0.322
10,60,0.508
10,16,0.528
10,26,0.017
10,53,0.05
11,10,0.456
11,33,0.433
11,23,0.276
11,3,0.575
12,11,0.266
12,13,0.2
12,3,0.554
12,22,0.23
12,61,0.122
13,39,0.524
13,12,0.326
13,1,0.564
13,2,0.582
13,35,0.181
13,32,0.142
14,55,0.521
14,65,0.37
14,6,0.419
14,41,0.375
14,38,0.377
14,40,0.033
15,31,0.24
15,55,0.134
15,62,0.158
15,12,0.364
15,54,0.509
16,44,0.307
16,9,0.12
16,22,0.135
16,61,0.045
16,55,0.546
17,11,0.221
17,51,0.326
17,3,0.283
17,54,0.182
17,65,0.175
17,30,0.345
18,62,0.255
18,43,0.153
18,48,0.329
18,9,0.249
18,4,0.573
18,40,0.017
19,57,0.166
19,29,0.448
19,3,0.311
19,7,0.562
19,50,0.397
19,22,0.085
19,9,0.464
20,38,0.351
20,36,0.263
20,37,0.451
21,14,0.342
21,43,0.242
21,6,0.479
21,22,0.334
21,9,0.099
22,26,0.28
22,64,0.176
22,10,0.332
22,61,0.454
22,62,0.308
23,50,0.351
23,16,0.417
23,39,0.273
24,25,0.21
24,32,0.521
24,24,0.508
24,41,0.342
24,4,0.533
25,53,0.355
25,42,0.497
25,39,0.427
25,2,0.567
26,59,0.43
26,1,0.202
26,26,0.024
26,53,0.587
26,31,0.155
26,22,0.049
27,37,0.292
27,50,0.383
27,45,0.562
27,65,0.045
27,63,0.332
27,48,0.397
28,29,0.469
28,49,0.124
28,1,0.308
29,55,0.521
29,48,0.11
29,42,0.18
30,42,0.057
30,33,0.511
30,27,0.252
30,23,0.44
30,8,0.098
30,46,0.308
30,15,0.207
31,47,0.151
31,51,0.095
31,25,0.213
31,41,0.478
31,14,0.125
32,10,0.039
32,36,0.21
32,8,0.334
32,54,0.224
33,25,0.352
33,45,0.268
33,62,0.03
33,44,0.217
33,7,0.516
33,31,0.039
34,31,0.408
34,20,0.202
34,33,0.151
34,27,0.523
35,9,0.053
35,51,0.494
35,34,0.275
35,30,0.494
36,33,0.573
36,46,0.366
36,21,0.011
36,24,0.111
36,44,0.094
37,28,0.215
37,59,0.231
37,9,0.029
37,46,0.207
38,16,0.371
38,34,0.314
38,51,0.346
38,8,0.588
38,11,0.598
39,29,0.037
39,42,0.437
39,47,0.263
40,21,0.17
40,55,0.041
40,37,0.312
40,52,0.356
41,37,0.522
41,34,0.495
41,55,0.228
42,14,0.311
42,40,0.09
42,37,0.595
42,55,0.22
42,57,0.405
42,7,0.331
42,45,0.409
43,56,0.572
43,51,0.362
43,57,0.444
44,40,0.344
44,30,0.046
44,6,0.174
44,31,0.542
44,9,0.342
45,24,0.326
45,50,0.178
45,48,0.301
45,64,0.573
45,11,0.352
46,40,0.142
46,29,0.069
46,46,0.469
47,53,0.353
47,6,0.18
47,26,0.589
48,54,0.294
48,35,0.486
48,39,0.189
48,12,0.458
48,62,0.528
50,45,0.11
50,33,0.33
50,23,0.468
50,5,0.077
50,17,0.03
50,21,0.023
51,5,0.209
51,52,0.034
51,29,0.012
51,64,0.302
51,43,0.549
52,40,0.063
52,1,0.382
52,30,0.078
53,13,0.09
53,5,0.038
53,40,0.41
54,19,0.314
54,5,0.562
54,60,0.099
55,8,0.575
55,65,0.517
55,55,0.224
55,53,0.416
56,35,0.519
56,29,0.471
56,7,0.542
56,44,0.045
56,33,0.568
56,50,0.131
56,32,0.122
57,46,0.073
57,58,0.047
57,41,0.119
57,37,0.421
57,11,0.321
57,36,0.365
58,17,0.033
58,49,0.479
58,39,0.32
58,38,0.473
58,7,0.408
58,54,0.414
59,33,0.057
59,39,0.415
59,50,0.162
60,61,0.241
60,13,0.217
60,53,0.183
61,19,0.228
61,10,0.441
61,35,0.486
61,33,0.551
61,27,0.046
61,15,0.589
62,17,0.393
62,23,0.315
62,62,0.093
62,43,0.545
63,12,0.25
63,5,0.547
63,54,0.094
63,49,0.131
64,33,0.495
64,53,0.269
64,48,0.049
64,31,0.318
64,27,0.13
64,17,0.585
65,60,0.037
65,12,0.261
65,59,0.577
65,1,0.09
65,54,0.516
66,44,0.474
66,15,0.511
66,35,0.172
66,14,0.296
66,56,0.224
66,57,0.205
66,36,0.294
67,60,0.511
67,47,0.571
67,62,0.137
67,48,0.156
67,24,0.458
67,29,0.188
68,44,0.118
68,18,0.281
68,64,0.295
68,58,0.036
68,46,0.158
68,14,0.015
68,15,0.251
69,15,0.215
69,60,0.595
69,54,0.176
69,10,0.591
69,61,0.522
69,52,0.389
70,38,0.404
70,22,0.186
70,19,0.235
70,5,0.085
70,62,0.462
70,45,0.241
71,2,0.399
71,14,0.362
71,4,0.584
