RefundID,OrderID,RefundDate,RefundAmount,RefundReason,RefundStatus
1,9,2025-03-25,166.34,Poor Food Quality,Rejected
2,11,2025-10-27,131.82,Delivery Delay,Processed
3,47,2026-05-08,490.91,Payment Issue,Approved
4,48,2026-07-11,494.68,Payment Issue,Requested
5,67,2026-03-10,183.72,Incorrect Order,Processed
6,75,2025-03-13,156.91,Payment Issue,Requested
7,82,2024-06-26,791.34,Poor Food Quality,Rejected
8,111,2025-03-10,755.7,Delivery Delay,Approved
9,113,2024-06-22,770.03,Delivery Delay,Processed
10,155,2026-03-10,177.27,Payment Issue,Approved
11,163,2025-08-20,238.54,Missing Item,Processed
12,169,2024-12-25,63.69,Incorrect Order,Processed
13,180,2024-02-28,554.0,Missing Item,Rejected
14,227,2025-11-05,326.92,Payment Issue,Rejected
15,235,2025-12-27,216.1,Poor Food Quality,Approved
16,239,2025-09-10,1267.63,Missing Item,Processed
17,257,2025-12-11,179.38,Missing Item,Processed
18,266,2025-02-18,96.73,Delivery Delay,Processed
19,269,2026-02-28,335.17,Delivery Delay,Approved
20,271,2025-08-01,400.88,Incorrect Order,Requested
21,287,2026-02-26,175.87,Delivery Delay,Requested
22,291,2026-06-27,528.6,Poor Food Quality,Processed
23,293,2025-08-20,311.3,Payment Issue,Rejected
24,294,2026-07-28,837.79,Poor Food Quality,processed
25,299,2025-12-19,648.08,Missing Item,Rejected
26,306,2024-09-10,565.28,Incorrect Order,Rejected
27,316,2026-06-08,322.2,Payment Issue,Rejected
28,332,2026-07-18,451.93,Missing Item,Processed
29,347,2026-06-11,81.67,Poor Food Quality,Requested
30,368,2025-01-18,533.74,Incorrect Order,Rejected
31,379,2026-02-28,632.85,Missing Item,Approved
32,420,2025-11-11,590.92,Poor Food Quality,Approved
33,446,2025-12-02,827.58,Missing Item,Approved
34,460,2024-08-10,237.45,Poor Food Quality,Processed
35,472,2024-03-24,97.66,Delivery Delay,Processed
36,479,2025-11-09,333.02,Poor Food Quality,Requested
37,495,2025-02-02,117.91,Incorrect Order,Processed
38,502,2024-11-12,1031.92,Missing Item,Processed
39,506,2024-02-06,404.37,Payment Issue,Requested
40,526,2024-02-27,501.66,Delivery Delay,Requested
41,594,2024-01-13,840.78,Incorrect Order,Rejected
42,611,2025-12-17,479.75,Delivery Delay,Approved
43,631,2025-06-28,502.54,Delivery Delay,Approved
44,654,2024-12-24,46.74,Incorrect Order,Rejected
45,658,2024-09-26,244.64,Incorrect Order,Processed
46,661,2025-11-12,405.66,Missing Item,Requested
47,680,2025-03-10,614.55,Incorrect Order,Requested
48,706,2025-06-18,164.17,Missing Item,Rejected
49,738,2024-01-17,325.71,Incorrect Order,Processed
50,740,2026-03-17,87.03,Payment Issue,Approved
51,769,2025-04-06,155.98,Poor Food Quality,Requested
52,773,2024-04-16,110.65,Payment Issue,Approved
53,776,2025-06-24,342.69,Incorrect Order,Requested
54,777,2026-02-01,308.97,Poor Food Quality,Approved
55,779,2025-10-09,17.77,Missing Item,Requested
56,785,2024-01-07,198.71,Missing Item,Requested
57,802,2026-01-29,411.45,Incorrect Order,Processed
58,812,2025-09-09,1184.73,Incorrect Order,Requested
59,813,2025-04-07,1106.28,Poor Food Quality,Rejected
60,833,2025-08-02,142.66,Payment Issue,Processed
61,840,2026-07-22,150.16,Poor Food Quality,Requested
62,845,2025-11-10,163.41,Payment Issue,Rejected
63,854,2024-05-30,171.24,Incorrect Order,Processed
64,860,2024-02-01,1159.85,Missing Item,Processed
65,894,2025-04-03,915.91,Missing Item,Processed
66,902,2025-03-09,412.47,Delivery Delay,Approved
67,908,2026-01-06,184.08,Missing Item,Processed
68,916,2025-11-23,1216.15,Incorrect Order,Requested
69,917,2025-04-06,839.4,Delivery Delay,Approved
70,926,2026-02-27,589.09,Payment Issue,Approved
71,942,2025-11-01,113.84,Missing Item,Approved
72,967,2024-10-09,1202.66,Payment Issue,Rejected
73,976,2026-08-22,764.66,Incorrect Order,Processed
74,982,2024-03-17,233.27,Delivery Delay,Rejected
75,991,2025-08-26,652.18,Missing Item,Requested
76,1011,2025-10-04,98.14,Poor Food Quality,Requested
77,1033,2025-11-05,107.13,Poor Food Quality,Approved
78,1035,2025-05-27,711.41,Poor Food Quality,Approved
79,1040,2026-03-08,1527.21,Poor Food Quality,Rejected
80,1049,2025-06-29,1868.61,Delivery Delay,Processed
81,1052,2024-04-25,307.95,Payment Issue,Processed
82,1086,2024-07-30,224.68,Missing Item,Processed
83,1097,2025-11-29,57.99,Incorrect Order,Requested
84,1101,2024-07-06,580.83,Poor Food Quality,Approved
85,1120,2026-02-23,465.59,Incorrect Order,Approved
86,1121,2024-02-23,331.6,Poor Food Quality,Rejected
87,1132,2025-10-01,338.7,Poor Food Quality,Approved
88,1150,2025-06-27,620.15,Missing Item,Approved
89,1158,2025-06-12,667.24,Poor Food Quality,Approved
90,1164,2025-01-26,338.92,Poor Food Quality,Processed
91,1194,2025-01-13,1095.76,Payment Issue,Requested
92,1210,2026-08-03,1068.76,Payment Issue,Approved
93,1219,2025-09-13,221.91,Poor Food Quality,Requested
94,1228,2024-04-16,300.15,Missing Item,Requested
95,1238,2024-12-06,99.26,Payment Issue,Requested
96,1240,2024-04-25,945.57,Incorrect Order,Approved
97,1251,2026-01-15,266.3,Delivery Delay,Rejected
98,1271,2024-10-01,771.73,Incorrect Order,Requested
99,1288,2024-04-27,704.89,Delivery Delay,Requested
100,1289,2026-07-28,566.83,Delivery Delay,Approved
101,1293,2026-08-12,320.68,Missing Item,Requested
102,1302,2025-01-05,361.8,Delivery Delay,Approved
103,1303,2024-11-28,1032.17,Missing Item,Requested
104,1339,2025-03-09,1128.09,Missing Item,Approved
105,1359,2026-03-17,513.7,Poor Food Quality,Requested
106,1369,2024-08-18,54.89,Incorrect Order,Processed
107,1370,2024-03-14,321.53,Delivery Delay,Processed
108,1394,2024-01-29,115.54,Delivery Delay,Processed
109,1406,2024-09-11,301.14,Poor Food Quality,Processed
110,1440,2026-07-05,138.5,Incorrect Order,Requested
111,1442,2024-02-02,122.33,Incorrect Order,Requested
112,1456,2026-03-06,549.32,Delivery Delay,Processed
113,1458,2026-01-26,592.05,Payment Issue,Processed
114,1460,2026-04-02,770.93,Poor Food Quality,Requested
115,1490,2025-03-26,573.99,Delivery Delay,Processed
116,1516,2024-04-22,88.51,Missing Item,Processed
117,1517,2024-04-24,537.58,Incorrect Order,PROCESSED
118,1556,2026-07-03,693.17,Delivery Delay,Requested
119,1566,2026-02-18,783.26,Poor Food Quality,Processed
120,1569,2024-06-24,308.3,Payment Issue,Processed
121,1599,2024-10-03,988.81,Incorrect Order,Processed
122,1603,2026-05-17,86.2,Delivery Delay,Processed
123,1604,2024-12-30,442.63,Incorrect Order,Approved
124,1614,2024-09-17,499.37,Payment Issue,Approved
125,1626,2024-04-21,805.61,Poor Food Quality,Processed
126,1635,2024-04-29,366.78,Poor Food Quality,Requested
127,1637,2025-06-19,1126.28,Delivery Delay,Approved
128,1639,2025-03-09,507.92,Delivery Delay,Approved
129,1641,2025-02-16,53.26,Poor Food Quality,Rejected
130,1645,2026-05-05,2443.45,Payment Issue,Approved
131,1658,2026-07-23,348.35,Incorrect Order,approved
132,1681,2026-05-10,360.08,Incorrect Order,Approved
133,1714,2025-10-05,27.1,Delivery Delay,Approved
134,1718,2025-07-14,128.55,Poor Food Quality,Processed
135,1721,2024-10-21,215.62,Payment Issue,Requested
136,1724,2026-01-07,140.58,Poor Food Quality,Approved
137,1730,2025-05-13,293.72,Delivery Delay,Approved
138,1731,2024-10-22,626.46,Incorrect Order,Requested
139,1743,2024-10-10,387.77,Missing Item,Approved
140,1775,2025-02-28,136.81,Incorrect Order,Requested
141,1795,2024-10-12,117.08,Poor Food Quality,Approved
142,1798,2026-06-13,317.81,Delivery Delay,Processed
143,1807,2025-12-06,1186.52,Poor Food Quality,Approved
144,1810,2025-09-24,529.8,Missing Item,Processed
145,1814,2024-01-01,19.38,Poor Food Quality,Requested
146,1820,2026-05-22,803.3,Payment Issue,Processed
147,1841,2025-05-03,558.6,Poor Food Quality,Processed
148,1854,2024-12-06,332.08,Payment Issue,Rejected
