ReviewID,CustomerID,OrderID,ProductID,BranchID,ReviewDate,Rating,ReviewText,SentimentCategory
1,8207,31118,63,3,2026-04-05,5,One of the best QSR experiences in the city.,Positive
2,2954,8418,19,19,2024-04-24,4,"Friendly staff and tasty food, will order again.",Positive
3,2964,23210,20,2,2025-04-07,5,One of the best QSR experiences in the city.,Positive
4,9696,36209,41,6,2026-08-05,5,"Absolutely loved the food, quick service too!",Positive
5,10913,1044,69,17,2025-07-14,4,One of the best QSR experiences in the city.,Positive
6,9994,20578,19,10,2024-09-17,5,"Absolutely loved the food, quick service too!",Positive
7,9250,28252,68,11,2025-05-16,5,"Great taste and hot, fresh delivery.",Positive
8,4200,13599,6,5,2024-12-21,3,"Average experience, delivery took a bit long.",Neutral
9,178,33445,39,17,2025-04-14,4,"Friendly staff and tasty food, will order again.",Positive
10,684,7,44,5,2024-10-12,5,One of the best QSR experiences in the city.,Positive
11,11432,20709,39,5,2025-07-27,5,"Great taste and hot, fresh delivery.",Positive
12,10346,41293,5,12,2026-01-06,5,"Friendly staff and tasty food, will order again.",Positive
13,3230,37202,20,20,2024-09-01,4,"Friendly staff and tasty food, will order again.",Positive
14,6600,28683,34,17,2024-11-02,4,"Friendly staff and tasty food, will order again.",Positive
15,9135,37772,68,17,2026-08-20,5,"Friendly staff and tasty food, will order again.",Positive
16,5113,11218,54,5,2024-11-03,4,"Great taste and hot, fresh delivery.",Positive
17,1296,4241,41,8,2024-08-20,4,Perfectly cooked and packed really well.,Positive
18,4909,41346,4,8,2025-05-22,3,,Neutral
19,2048,15243,55,17,2026-02-28,5,"Friendly staff and tasty food, will order again.",Positive
20,4396,3249,32,12,2026-04-01,4,,Positive
21,10895,13821,47,17,2024-04-09,3,"Food was okay, nothing special.",Neutral
22,6655,21240,9,5,2025-10-14,4,One of the best QSR experiences in the city.,Positive
23,1709,18408,36,5,2026-07-31,5,One of the best QSR experiences in the city.,Positive
24,511,3400,48,4,2024-08-31,2,Delivery was very late and food quality was poor.,Negative
25,2116,8437,4,12,2025-10-01,4,"Great taste and hot, fresh delivery.",Positive
26,7025,37261,65,3,2026-04-05,4,One of the best QSR experiences in the city.,Positive
27,10316,14229,10,12,2024-07-16,3,Decent taste but portion size could be better.,Neutral
28,10794,9039,63,3,2024-03-09,5,,Positive
29,11766,37633,71,12,2025-11-24,5,Perfectly cooked and packed really well.,Positive
30,2822,8578,52,5,2026-07-25,5,"Absolutely loved the food, quick service too!",Positive
31,8152,29127,14,13,2026-01-27,4,"Friendly staff and tasty food, will order again.",Positive
32,1799,5459,51,5,2025-09-23,4,Perfectly cooked and packed really well.,Positive
33,3581,14640,19,3,2024-11-09,5,One of the best QSR experiences in the city.,Positive
34,5064,12325,13,12,2025-07-21,5,,Positive
35,6608,24130,43,12,2024-10-11,4,"Great taste and hot, fresh delivery.",Positive
36,10370,17296,48,5,2026-03-18,5,"Absolutely loved the food, quick service too!",Positive
37,8450,14616,10,5,2024-07-17,5,Perfectly cooked and packed really well.,Positive
38,5365,4215,2,17,2026-04-14,5,,Positive
39,12018,16530,10,15,2025-07-27,5,One of the best QSR experiences in the city.,Positive
40,11294,6989,46,9,2025-07-05,5,"Absolutely loved the food, quick service too!",Positive
41,11136,36443,5,12,2026-05-20,4,Perfectly cooked and packed really well.,Positive
42,2741,27596,61,13,2025-11-22,4,Perfectly cooked and packed really well.,Positive
43,2237,7408,13,5,2024-12-18,3,"Average experience, delivery took a bit long.",Neutral
44,3436,4265,44,5,2025-02-01,5,"Friendly staff and tasty food, will order again.",Positive
45,7190,12095,6,5,2026-08-16,5,,Positive
46,5966,945,47,8,2024-07-01,4,One of the best QSR experiences in the city.,Positive
47,6038,487,66,5,2024-07-18,2,Way too oily and not fresh at all.,Negative
48,9535,11841,24,10,2024-05-10,3,Decent taste but portion size could be better.,Neutral
49,5114,9247,50,10,2025-09-12,5,One of the best QSR experiences in the city.,Positive
50,10428,35167,43,16,2026-08-05,5,"Friendly staff and tasty food, will order again.",Positive
51,11466,34892,47,4,2024-10-16,5,"Absolutely loved the food, quick service too!",Positive
52,9238,21005,52,20,2026-08-15,5,"Absolutely loved the food, quick service too!",Positive
53,4954,39769,1,10,2026-01-10,2,Way too oily and not fresh at all.,Negative
54,701,5051,3,15,2026-05-28,5,One of the best QSR experiences in the city.,Positive
55,5935,1502,50,8,2024-07-30,4,"Great taste and hot, fresh delivery.",Positive
