WastageID,BranchID,IngredientID,WastageDate,WastageQuantity,WastageReason,EstimatedWastageCost
1,1,41,2024-01-03,26.78,Expired,1217.69
2,1,46,2024-01-02,24.8,Preparation Error,5895.95
3,1,6,2024-01-06,32.86,Overproduction,7277.83
4,1,1,2024-01-14,36.0,Storage Issue,10803.24
5,1,43,2024-01-11,33.7,Preparation Error,1778.35
6,1,20,2024-01-02,18.29,Spoilage,2145.42
7,1,64,2024-01-17,32.39,Expired,5277.63
8,1,33,2024-01-16,5.81,Storage Issue,1022.68
9,1,7,2024-01-28,6.77,Overproduction,845.3
10,1,49,2024-01-10,4.26,Spoilage,800.54
11,1,15,2024-01-20,25.23,Preparation Error,2950.14
12,1,23,2024-01-13,17.5,Spoilage,6078.98
13,1,34,2024-01-21,23.4,Overproduction,7961.62
14,1,63,2024-01-01,4.66,Quality Issue,1611.8
15,1,58,2024-01-23,18.09,Expired,2405.25
16,1,17,2024-01-18,28.69,Overproduction,5895.8
17,1,28,2024-01-26,17.92,Quality Issue,3230.8
18,1,32,2024-01-20,7.65,Quality Issue,845.55
19,1,22,2024-01-17,30.0,Expired,5828.1
20,1,16,2024-01-02,31.29,Storage Issue,6264.57
21,1,18,2024-01-11,27.53,Spoilage,1040.63
22,1,29,2024-01-26,13.19,Overproduction,2684.82
23,1,26,2024-01-15,21.56,Storage Issue,4235.89
24,1,8,2024-01-17,22.78,Spoilage,4141.63
25,1,38,2024-01-22,11.75,Expired,3822.39
26,1,2,2024-01-26,26.59,Quality Issue,3263.66
27,1,37,2024-01-26,13.57,Quality Issue,1575.34
28,1,19,2024-01-11,14.99,Expired,4193.75
29,1,14,2024-01-21,36.47,Expired,2201.69
30,1,35,2024-01-13,10.14,Spoilage,697.43
31,1,36,2024-01-15,12.22,Quality Issue,4218.47
32,1,10,2024-01-23,19.73,Expired,1353.68
33,1,54,2024-01-09,22.68,Storage Issue,3369.57
34,1,23,2024-02-12,16.52,Expired,4145.86
35,1,1,2024-02-17,25.02,Preparation Error,4994.24
36,1,3,2024-02-05,9.03,Overproduction,1797.33
37,1,33,2024-02-04,24.25,Expired,7703.26
38,1,18,2024-02-28,5.77,Spoilage,336.79
39,1,62,2024-02-23,32.94,Spoilage,7806.45
40,1,30,2024-02-07,10.57,Overproduction,1846.26
41,1,22,2024-02-05,22.74,Storage Issue,2126.87
42,1,58,2024-02-15,8.33,Overproduction,319.87
43,1,61,2024-02-25,17.05,Overproduction,604.42
44,1,8,2024-02-07,29.64,Expired,7643.56
45,1,2,2024-02-19,9.04,Spoilage,589.95
46,1,55,2024-02-10,23.53,Preparation Error,7312.18
47,1,41,2024-02-01,37.31,Spoilage,9467.79
48,1,27,2024-02-26,32.08,Spoilage,5009.61
49,1,36,2024-02-01,7.0,Overproduction,1894.9
50,1,26,2024-02-21,17.7,Overproduction,4242.34
51,1,7,2024-02-09,36.4,Expired,4304.3
52,1,35,2024-02-14,32.88,Preparation Error,4230.34
53,1,5,2024-02-09,15.89,Spoilage,530.25
54,1,13,2024-02-03,16.91,Spoilage,4760.67
55,1,39,2024-02-26,20.84,Overproduction,5787.68
56,1,47,2024-02-16,5.65,Overproduction,509.74
57,1,54,2024-02-19,11.19,Overproduction,1572.08
58,1,4,2024-02-23,11.88,Spoilage,1079.42
59,1,12,2024-02-13,29.85,Expired,8066.96
60,1,20,2024-02-23,36.1,Quality Issue,5542.07
61,1,46,2024-02-17,36.19,Spoilage,12031.73
62,1,32,2024-02-10,21.08,Spoilage,4093.95
63,1,40,2024-02-12,27.92,Spoilage,6613.97
64,1,37,2024-02-20,20.73,Preparation Error,5496.97
65,1,19,2024-02-16,18.35,Expired,4910.09
66,1,29,2024-02-14,6.01,Quality Issue,475.69
67,1,16,2024-03-10,18.93,Spoilage,4317.74
68,1,50,2024-03-09,33.87,Expired,3030.01
69,1,37,2024-03-06,8.47,Quality Issue,1540.18
70,1,19,2024-03-03,10.96,Storage Issue,1660.0
71,1,45,2024-03-28,3.04,Overproduction,483.39
72,1,30,2024-03-12,35.1,Spoilage,8409.61
73,1,7,2024-03-06,33.63,Quality Issue,9589.93
74,1,21,2024-03-08,26.2,SPOILAGE,3649.66
75,1,24,2024-03-21,7.3,Overproduction,2434.84
76,1,42,2024-03-19,29.82,Overproduction,3627.6
77,1,12,2024-03-09,23.63,Storage Issue,7306.87
78,1,59,2024-03-17,29.93,Overproduction,772.49
79,1,34,2024-03-12,199.99,Quality Issue,964.81
80,1,23,2024-03-21,31.68,Expired,988.73
81,1,48,2024-03-11,10.71,Preparation Error,3468.33
82,1,52,2024-03-01,14.95,Overproduction,3114.98
83,1,60,2024-03-19,27.38,Storage Issue,6525.48
84,1,29,2024-03-16,10.21,Expired,3278.33
85,1,40,2024-03-08,23.8,Expired,7359.44
86,1,63,2024-03-22,19.95,Expired,5449.54
87,1,31,2024-03-07,3.13,Spoilage,435.88
88,1,27,2024-03-17,5.51,Spoilage,1682.53
89,1,58,2024-03-24,32.19,Overproduction,5987.02
90,1,62,2024-03-15,4.72,Expired,1559.63
91,1,11,2024-03-18,3.77,Expired,130.93
92,1,38,2024-03-22,24.52,Quality Issue,1523.67
93,1,35,2024-03-26,10.51,Storage Issue,2080.14
94,1,44,2024-03-18,28.93,Storage Issue,4104.01
95,1,36,2024-03-24,5.53,Expired,1060.49
96,1,9,2024-03-25,33.44,Spoilage,7198.63
97,1,46,2024-03-10,83.23,Quality Issue,3087.12
98,1,8,2024-03-17,3.64,Overproduction,766.51
99,1,13,2024-03-08,19.79,Expired,4158.08
100,1,9,2024-04-19,28.61,Overproduction,2890.75
101,1,32,2024-04-10,29.08,Storage Issue,3799.3
102,1,11,2024-04-08,35.62,Spoilage,7480.91
103,1,23,2024-04-02,33.0,Preparation Error,7862.25
104,1,50,2024-04-21,29.78,Overproduction,5196.31
105,1,61,2024-04-24,35.41,Expired,8283.46
106,1,31,2024-04-07,29.23,Overproduction,9059.25
107,1,43,2024-04-18,23.14,Spoilage,4791.37
108,1,30,2024-04-21,6.41,Expired,1058.03
109,1,19,2024-04-25,27.73,Spoilage,3558.04
110,1,46,2024-04-15,8.41,Spoilage,2558.41
111,1,36,2024-04-07,33.58,Spoilage,7240.52
112,1,13,2024-04-13,15.54,Spoilage,5150.89
113,1,15,2024-04-12,3.48,Expired,531.99
114,1,33,2024-04-03,15.77,Preparation Error,823.04
115,1,59,2024-04-21,25.29,Spoilage,5742.09
116,1,24,2024-04-19,15.73,Spoilage,2510.51
117,1,64,2024-04-07,11.02,Preparation Error,2247.09
118,1,16,2024-04-21,29.36,Preparation Error,614.21
119,1,10,2024-04-01,15.04,Expired,4184.88
120,1,3,2024-04-11,9.22,Expired,573.67
121,1,63,2024-04-21,25.43,Overproduction,1821.55
122,1,58,2024-04-01,14.82,Expired,4810.42
123,1,26,2024-04-22,22.85,Spoilage,5475.09
124,1,52,2024-04-05,6.03,Spoilage,550.42
125,1,55,2024-04-25,34.88,Quality Issue,9510.38
126,1,38,2024-04-14,25.16,Quality Issue,5726.16
127,1,56,2024-04-10,7.52,Expired,2578.61
128,1,28,2024-04-06,14.34,Expired,2179.68
129,1,34,2024-04-18,4.61,Storage Issue,761.39
130,1,17,2024-04-25,30.03,Preparation Error,8469.06
131,1,47,2024-04-17,33.02,Spoilage,11448.69
132,1,27,2024-04-19,27.62,Preparation Error,8279.1
133,1,55,2024-05-02,26.13,Quality Issue,5200.13
134,1,35,2024-05-20,7.01,Storage Issue,2326.41
135,1,54,2024-05-09,14.25,Preparation Error,2241.95
136,1,39,2024-05-24,14.73,Overproduction,3099.63
137,1,14,2024-05-11,30.61,Spoilage,704.95
138,1,58,2024-05-22,31.44,Quality Issue,6221.35
139,1,26,2024-05-14,4.42,Expired,851.38
140,1,64,2024-05-14,28.46,Overproduction,9171.24
141,1,40,2024-05-13,9.9,Preparation Error,1066.82
142,1,53,2024-05-04,6.73,Expired,1522.93
143,1,13,2024-05-04,24.34,Quality Issue,5882.49
144,1,22,2024-05-12,4.89,Storage Issue,256.48
145,1,17,2024-05-11,30.66,Quality Issue,7906.91
146,1,29,2024-05-05,27.87,Expired,7498.7
147,1,50,2024-05-10,36.9,Spoilage,7680.73
148,1,45,2024-05-13,31.05,Preparation Error,8627.55
149,1,11,2024-05-26,36.9,Spoilage,9854.88
150,1,3,2024-05-18,11.45,Spoilage,2366.71
151,1,21,2024-05-22,9.88,Spoilage,2527.4
152,1,61,2024-05-11,34.51,Expired,6443.36
153,1,1,2024-05-28,31.2,Expired,1327.87
154,1,51,2024-05-07,6.14,Storage Issue,1478.7
155,1,65,2024-05-14,34.78,Expired,1455.54
156,1,12,2024-05-22,242.41,Expired,11897.83
157,1,48,2024-05-05,27.98,Spoilage,8628.19
158,1,32,2024-05-22,9.18,Overproduction,2719.57
159,1,36,2024-05-26,5.49,Overproduction,1196.93
160,1,28,2024-05-24,29.33,Quality Issue,8546.76
161,1,30,2024-05-04,25.83,Overproduction,3152.55
162,1,19,2024-05-22,37.31,Overproduction,3838.45
163,1,56,2024-05-24,5.79,Overproduction,518.09
164,1,44,2024-05-06,14.66,Expired,1141.72
165,1,25,2024-05-13,4.01,Overproduction,170.38
166,1,55,2024-06-09,219.66,Spoilage,4898.1
167,1,49,2024-06-06,26.59,Expired,2465.42
168,1,38,2024-06-05,12.96,Storage Issue,3719.26
169,1,45,2024-06-08,18.52,Expired,4039.4
170,1,58,2024-06-22,17.95,Expired,1689.63
171,1,65,2024-06-21,20.67,Spoilage,712.49
172,1,12,2024-06-25,15.53,Spoilage,2076.83
173,1,4,2024-06-08,18.37,Spoilage,6154.87
174,1,13,2024-06-15,23.81,Spoilage,4873.19
175,1,22,2024-06-11,7.46,Quality Issue,168.0
176,1,31,2024-06-24,27.42,Spoilage,1735.69
177,1,63,2024-06-13,28.48,Expired,4090.01
178,1,27,2024-06-28,26.45,Expired,3768.33
179,1,5,2024-06-06,15.82,Expired,3519.16
180,1,43,2024-06-24,5.8,Overproduction,1498.72
181,1,52,2024-06-18,12.17,Overproduction,781.44
182,1,11,2024-06-22,35.89,Expired,11424.86
183,1,6,2024-06-09,35.81,Preparation Error,8742.3
184,1,30,2024-06-11,10.45,Storage Issue,1795.0
185,1,9,2024-06-24,9.13,Quality Issue,2050.69
186,1,14,2024-06-06,20.01,Spoilage,3780.09
187,1,8,2024-06-09,28.12,Spoilage,9191.02
188,1,51,2024-06-05,29.71,Expired,5937.54
189,1,42,2024-06-13,30.2,Spoilage,9723.8
190,1,32,2024-06-06,19.07,Spoilage,6257.25
191,1,37,2024-06-05,21.17,Spoilage,4326.72
192,1,15,2024-06-20,14.33,Preparation Error,813.23
193,1,56,2024-06-27,26.76,Spoilage,961.75
194,1,53,2024-06-04,16.6,Expired,479.91
195,1,23,2024-06-07,2.85,Preparation Error,985.3
196,1,60,2024-06-22,4.58,Expired,334.2
197,1,34,2024-06-01,26.49,Expired,4479.46
198,1,21,2024-06-03,18.43,Overproduction,2685.8
199,1,49,2024-07-14,19.13,expired,2668.44
200,1,60,2024-07-27,28.42,Expired,9152.95
201,1,55,2024-07-03,29.23,Expired,4073.79
202,1,30,2024-07-18,19.17,Spoilage,4492.68
203,1,25,2024-07-07,16.45,Overproduction,2165.31
204,1,34,2024-07-18,29.45,Preparation Error,3151.74
205,1,50,2024-07-07,36.07,Spoilage,11085.03
206,1,16,2024-07-04,35.87,Quality Issue,6628.78
207,1,44,2024-07-27,36.94,Overproduction,8173.71
208,1,2,2024-07-20,19.69,Spoilage,1644.31
209,1,59,2024-07-27,23.48,Storage Issue,6466.16
210,1,19,2024-07-22,8.17,Overproduction,1686.7
211,1,27,2024-07-16,24.16,Spoilage,2581.01
212,1,9,2024-07-22,7.89,Preparation Error,827.35
213,1,41,2024-07-28,6.22,Overproduction,1514.76
214,1,35,2024-07-04,18.99,Expired,3300.84
215,1,13,2024-07-26,9.87,Overproduction,2736.75
216,1,15,2024-07-25,25.14,Spoilage,4008.07
217,1,36,2024-07-05,30.85,Expired,3302.49
218,1,53,2024-07-10,3.13,Expired,379.14
219,1,47,2024-07-28,20.27,Storage Issue,2581.18
220,1,39,2024-07-21,13.36,Spoilage,1101.0
221,1,22,2024-07-19,17.52,Storage Issue,2002.54
222,1,23,2024-07-10,5.35,Storage Issue,404.19
223,1,6,2024-07-24,33.08,Overproduction,6043.05
224,1,8,2024-07-09,32.9,Expired,3221.24
225,1,32,2024-07-06,36.42,Quality Issue,9889.49
226,1,18,2024-07-17,20.33,Storage Issue,1091.31
227,1,1,2024-07-02,22.4,Expired,4245.02
228,1,7,2024-07-03,10.93,Overproduction,1245.58
229,1,64,2024-07-02,16.99,Spoilage,5181.61
230,1,57,2024-07-07,4.55,Expired,1123.35
231,1,31,2024-07-11,15.66,Expired,5351.02
232,1,5,2024-08-20,6.2,spoilage,400.52
233,1,34,2024-08-01,31.67,Quality Issue,10752.28
234,1,11,2024-08-02,16.25,Quality Issue,4895.31
235,1,62,2024-08-17,11.29,Storage Issue,1347.91
236,1,24,2024-08-12,23.7,Preparation Error,7007.62
237,1,7,2024-08-19,26.41,Storage Issue,6987.29
238,1,13,2024-08-12,17.24,Preparation Error,3177.5
239,1,31,2024-08-28,26.15,Spoilage,2679.59
240,1,56,2024-08-12,11.86,Overproduction,3362.07
241,1,45,2024-08-18,4.08,spoilage,643.5
242,1,33,2024-08-07,5.46,Expired,1269.61
243,1,30,2024-08-12,7.49,Spoilage,982.84
244,1,52,2024-08-02,8.11,Storage Issue,363.49
245,1,43,2024-08-04,35.65,Spoilage,8513.22
246,1,46,2024-08-09,34.82,Expired,7647.86
247,1,12,2024-08-20,34.65,Spoilage,2781.36
248,1,4,2024-08-10,21.5,Spoilage,4976.18
249,1,6,2024-08-13,15.41,Spoilage,4641.8
250,1,14,2024-08-26,20.85,Expired,2019.95
251,1,50,2024-08-20,31.38,Expired,10241.8
252,1,10,2024-08-13,7.16,Storage Issue,530.91
253,1,61,2024-08-21,29.52,Expired,8774.23
254,1,9,2024-08-23,35.41,Overproduction,8460.16
255,1,19,2024-08-07,3.47,Preparation Error,1092.01
256,1,47,2024-08-12,4.22,Spoilage,1013.64
257,1,21,2024-08-01,34.19,Spoilage,8831.96
258,1,63,2024-08-05,33.97,Preparation Error,3674.53
259,1,25,2024-08-20,23.66,Overproduction,1028.26
260,1,38,2024-08-02,18.17,Spoilage,5905.07
261,1,39,2024-08-21,31.74,Overproduction,9905.1
262,1,41,2024-08-27,4.04,Overproduction,272.26
263,1,18,2024-08-08,10.2,Expired,2820.4
264,1,32,2024-08-25,29.09,Spoilage,2523.27
265,1,20,2024-09-17,36.98,Quality Issue,4182.81
266,1,22,2024-09-26,34.08,Expired,9564.21
267,1,59,2024-09-16,20.61,Quality Issue,3307.08
268,1,28,2024-09-27,6.65,Expired,1009.07
269,1,54,2024-09-06,30.71,Storage Issue,9281.18
270,1,13,2024-09-09,32.34,Spoilage,8169.41
271,1,2,2024-09-27,7.9,Quality Issue,1458.81
272,1,26,2024-09-13,33.9,Spoilage,7520.71
273,1,53,2024-09-23,33.78,Spoilage,5985.82
274,1,18,2024-09-09,25.02,Expired,8346.92
275,1,55,2024-09-03,36.06,Expired,6969.68
276,1,50,2024-09-23,24.76,Expired,1325.65
277,1,40,2024-09-03,30.3,Overproduction,7493.8
278,1,45,2024-09-24,10.63,Expired,1915.1
279,1,32,2024-09-22,17.33,Expired,2479.75
280,1,29,2024-09-10,31.3,Overproduction,3564.13
281,1,42,2024-09-09,18.02,Preparation Error,1594.05
282,1,48,2024-09-04,35.35,Storage Issue,1667.46
283,1,11,2024-09-27,9.29,Expired,3077.68
284,1,65,2024-09-02,10.66,Preparation Error,2662.76
285,1,36,2024-09-02,32.46,Expired,5272.48
286,1,56,2024-09-15,14.45,Quality Issue,4062.18
287,1,31,2024-09-03,21.65,Storage Issue,1572.87
288,1,39,2024-09-19,17.96,Expired,3639.59
289,1,33,2024-09-11,9.75,Spoilage,2901.4
290,1,19,2024-09-14,21.79,Expired,5653.42
291,1,47,2024-09-21,13.14,Spoilage,2190.96
292,1,21,2024-09-01,16.32,Expired,412.9
293,1,64,2024-09-27,35.54,Overproduction,6772.15
294,1,43,2024-09-03,13.81,Overproduction,3967.61
295,1,3,2024-09-08,32.38,Overproduction,1831.74
296,1,35,2024-09-12,13.4,Expired,4061.41
297,1,58,2024-09-21,7.62,Expired,758.27
298,1,31,2024-10-25,18.17,Spoilage,3729.39
299,1,64,2024-10-14,23.82,Overproduction,1049.75
300,1,14,2024-10-28,17.92,Preparation Error,2933.86
301,1,65,2024-10-18,35.35,Spoilage,936.07
302,1,2,2024-10-10,16.77,Overproduction,5348.79
303,1,15,2024-10-01,18.98,Expired,5415.56
304,1,28,2024-10-10,13.61,Expired,538.82
305,1,33,2024-10-19,30.87,Preparation Error,7415.59
306,1,10,2024-10-26,34.85,Expired,1578.36
307,1,47,2024-10-16,15.64,Overproduction,3218.4
308,1,62,2024-10-23,15.49,Expired,2083.1
309,1,1,2024-10-27,19.07,Preparation Error,2091.79
310,1,49,2024-10-23,23.64,Spoilage,5526.32
311,1,13,2024-10-03,16.32,Storage Issue,4717.46
312,1,38,2024-10-07,20.9,Storage Issue,1648.8
313,1,52,2024-10-27,11.38,Expired,1005.31
314,1,40,2024-10-11,3.38,Expired,1023.06
315,1,54,2024-10-12,18.04,Expired,3270.11
316,1,56,2024-10-15,11.09,Expired,2653.28
317,1,18,2024-10-13,10.04,Overproduction,938.94
318,1,21,2024-10-28,14.08,Expired,4908.57
319,1,60,2024-10-13,15.5,Overproduction,4089.21
320,1,61,2024-10-17,24.4,Preparation Error,2466.84
321,1,35,2024-10-19,13.72,Preparation Error,4090.62
322,1,44,2024-10-20,16.89,Expired,2266.47
323,1,9,2024-10-17,4.0,Expired,1193.24
324,1,16,2024-10-13,37.38,Preparation Error,4192.91
325,1,3,2024-10-02,37.41,Preparation Error,12527.49
326,1,4,2024-10-21,28.7,Spoilage,3051.96
327,1,39,2024-10-11,5.11,Overproduction,517.23
328,1,6,2024-10-16,6.4,Overproduction,302.34
329,1,22,2024-10-16,30.81,Expired,10311.18
330,1,30,2024-10-02,17.68,Spoilage,2459.46
331,1,17,2024-11-20,19.11,Preparation Error,387.17
332,1,22,2024-11-05,5.57,Expired,744.37
333,1,47,2024-11-23,34.04,Expired,8123.65
334,1,28,2024-11-24,12.85,Overproduction,663.7
335,1,10,2024-11-14,15.24,Storage Issue,3966.06
336,1,46,2024-11-06,23.17,Spoilage,7788.83
337,1,63,2024-11-09,22.57,Preparation Error,3765.35
338,1,20,2024-11-22,13.19,Preparation Error,1360.81
339,1,41,2024-11-12,34.08,Expired,4809.37
340,1,59,2024-11-19,12.48,Overproduction,1297.92
341,1,12,2024-11-04,2.59,Spoilage,647.09
342,1,56,2024-11-12,11.92,Overproduction,3850.28
343,1,15,2024-11-06,36.94,Overproduction,3804.08
344,1,40,2024-11-21,23.36,Preparation Error,1737.28
345,1,60,2024-11-08,29.57,Spoilage,6457.79
346,1,57,2024-11-12,6.03,Expired,710.64
347,1,23,2024-11-10,14.18,Expired,1760.16
348,1,35,2024-11-06,32.29,Overproduction,1802.75
349,1,21,2024-11-04,35.91,Overproduction,11081.11
350,1,26,2024-11-28,31.85,Preparation Error,5840.97
351,1,29,2024-11-14,20.72,Expired,2462.99
352,1,61,2024-11-13,13.54,Preparation Error,4000.53
353,1,42,2024-11-11,12.98,Expired,3062.5
354,1,24,2024-11-12,35.38,Expired,9548.71
355,1,34,2024-11-18,36.0,Spoilage,7396.92
356,1,45,2024-11-16,12.59,Storage Issue,2200.86
357,1,64,2024-11-26,28.66,Expired,3978.29
358,1,6,2024-11-03,17.4,Expired,1155.19
359,1,7,2024-11-13,29.35,Expired,7848.78
360,1,38,2024-11-05,7.21,Preparation Error,1024.18
361,1,2,2024-11-28,35.86,Spoilage,1459.5
362,1,43,2024-11-09,11.06,Preparation Error,1305.19
363,1,39,2024-11-23,29.36,Spoilage,6798.9
364,1,39,2024-12-13,17.17,Overproduction,5974.13
365,1,2,2024-12-23,47.95,Expired,392.64
366,1,63,2024-12-21,35.54,Expired,10023.35
367,1,3,2024-12-17,20.07,Overproduction,2109.56
368,1,28,2024-12-18,32.75,Expired,3978.14
369,1,40,2024-12-14,26.77,Preparation Error,6366.98
370,1,49,2024-12-05,29.07,Quality Issue,778.79
371,1,25,2024-12-21,36.35,Preparation Error,5969.03
372,1,61,2024-12-04,8.9,Preparation Error,1151.04
373,1,31,2024-12-23,30.97,Preparation Error,3516.95
374,1,13,2024-12-17,2.76,Overproduction,358.36
375,1,64,2024-12-17,3.04,Overproduction,93.81
376,1,36,2024-12-15,36.0,Preparation Error,1602.72
377,1,24,2024-12-14,24.17,Expired,2831.27
378,1,18,2024-12-26,19.11,Spoilage,6520.91
379,1,12,2024-12-05,15.62,Preparation Error,2780.52
380,1,62,2024-12-10,31.08,Expired,9498.05
381,1,26,2024-12-24,30.31,Spoilage,6214.46
382,1,41,2024-12-27,35.77,Preparation Error,8829.82
383,1,20,2024-12-14,2.53,Expired,851.4
384,1,19,2024-12-23,20.26,Storage Issue,3752.56
385,1,55,2024-12-26,15.19,Preparation Error,5095.03
386,1,30,2024-12-23,16.6,Spoilage,2621.14
387,1,1,2024-12-26,9.37,Spoilage,2799.66
388,1,29,2024-12-25,9.31,Expired,256.21
389,1,53,2024-12-07,17.83,Storage Issue,4975.1
390,1,33,2024-12-16,35.04,Preparation Error,10075.75
391,1,15,2024-12-14,11.87,Preparation Error,1735.39
392,1,60,2024-12-18,14.51,Expired,700.54
393,1,44,2024-12-05,27.94,Spoilage,6122.49
394,1,14,2024-12-25,33.09,Spoilage,1829.88
395,1,22,2024-12-16,13.35,Overproduction,2316.63
396,1,7,2024-12-04,25.58,Overproduction,6937.55
397,1,35,2025-01-22,17.42,Spoilage,2145.1
398,1,40,2025-01-21,3.47,Preparation Error,1061.13
399,1,1,2025-01-23,25.06,Quality Issue,8710.61
400,1,54,2025-01-25,6.24,Preparation Error,1297.48
401,1,51,2025-01-21,18.69,Preparation Error,1520.06
402,1,24,2025-01-05,34.43,Expired,9429.34
403,1,21,2025-01-01,21.35,Preparation Error,3405.97
404,1,44,2025-01-20,20.35,Preparation Error,6277.36
405,1,18,2025-01-20,8.15,Expired,288.92
406,1,28,2025-01-13,28.24,Expired,8934.01
407,1,59,2025-01-15,32.25,Spoilage,3690.69
408,1,8,2025-01-03,5.78,Preparation Error,1034.5
409,1,61,2025-01-14,32.75,Overproduction,4024.65
410,1,15,2025-01-06,19.86,Preparation Error,6278.14
411,1,63,2025-01-24,35.5,Expired,4719.37
412,1,16,2025-01-10,19.18,Overproduction,5555.49
413,1,37,2025-01-04,31.95,Expired,10794.95
414,1,36,2025-01-14,23.54,Quality Issue,4403.16
415,1,13,2025-01-15,23.52,Expired,3325.73
416,1,50,2025-01-23,5.07,Overproduction,1123.11
417,1,17,2025-01-14,7.26,Quality Issue,506.75
418,1,57,2025-01-02,22.08,Overproduction,2754.92
419,1,41,2025-01-25,23.6,Expired,6730.01
420,1,20,2025-01-01,27.78,Quality Issue,6418.57
421,1,12,2025-01-18,3.57,Expired,238.76
422,1,49,2025-01-03,10.3,Spoilage,623.36
423,1,19,2025-01-10,31.05,Overproduction,8988.35
424,1,47,2025-01-10,83.79,Spoilage,1339.44
425,1,39,2025-01-24,30.75,Expired,8704.4
426,1,30,2025-01-26,29.85,Overproduction,6923.41
427,1,14,2025-01-01,33.47,Expired,5327.09
428,1,22,2025-01-22,4.58,Overproduction,425.25
429,1,43,2025-01-10,4.78,Storage Issue,817.57
430,1,23,2025-02-10,26.88,Storage Issue,9375.74
431,1,62,2025-02-05,4.59,Spoilage,826.2
432,1,38,2025-02-19,27.96,Expired,9016.54
433,1,42,2025-02-22,5.21,Storage Issue,911.02
434,1,19,2025-02-23,11.41,Expired,3868.45
435,1,26,2025-02-02,18.92,Expired,3003.93
436,1,24,2025-02-19,20.03,Quality Issue,5292.73
437,1,20,2025-02-19,22.02,Preparation Error,5364.73
438,1,61,2025-02-04,7.35,Expired,944.4
439,1,40,2025-02-02,27.4,Expired,4723.49
440,1,47,2025-02-28,25.76,Expired,1306.8
441,1,45,2025-02-12,17.02,Preparation Error,4182.15
442,1,41,2025-02-19,2.96,Expired,290.44
443,1,36,2025-02-15,16.02,Spoilage,1502.52
444,1,17,2025-02-15,32.05,Expired,5433.12
445,1,6,2025-02-28,5.89,Storage Issue,1710.16
446,1,63,2025-02-16,11.4,Spoilage,2124.28
447,1,30,2025-02-04,21.06,Overproduction,3018.53
448,1,7,2025-02-24,16.87,Spoilage,5533.02
449,1,28,2025-02-06,11.87,Spoilage,3586.4
450,1,52,2025-02-19,28.57,Storage Issue,9245.25
451,1,25,2025-02-11,17.39,Preparation Error,2693.19
452,1,58,2025-02-09,7.97,Overproduction,2064.39
453,1,4,2025-02-16,27.31,Overproduction,4000.1
454,1,57,2025-02-01,12.02,Overproduction,1406.7
455,1,44,2025-02-16,28.1,Expired,4739.91
456,1,18,2025-02-03,34.91,Preparation Error,1056.73
457,1,21,2025-02-16,15.3,Spoilage,3295.77
458,1,48,2025-02-05,22.85,Spoilage,3469.09
459,1,65,2025-02-24,10.44,Preparation Error,2786.96
460,1,33,2025-02-12,5.47,Spoilage,1497.58
461,1,60,2025-02-24,17.21,Overproduction,4259.13
462,1,35,2025-02-17,19.96,Overproduction,2491.41
463,1,53,2025-03-16,25.47,Storage Issue,7538.1
464,1,3,2025-03-11,9.29,Preparation Error,1977.47
465,1,28,2025-03-22,15.34,expired,4287.07
466,1,25,2025-03-04,26.39,Expired,5239.47
467,1,51,2025-03-01,31.48,Preparation Error,6080.36
468,1,59,2025-03-07,8.87,Quality Issue,2526.71
469,1,32,2025-03-28,5.63,Spoilage,650.49
470,1,42,2025-03-16,6.45,Preparation Error,470.79
471,1,9,2025-03-14,12.05,Overproduction,3326.4
472,1,31,2025-03-17,6.1,Storage Issue,1084.21
